<order:11, edges:55, delta:10, colors: 11, graph:1, type:1, time:0.018242>
<order:12, edges:66, delta:11, colors: 12, graph:1, type:1, time:0.025001>
<order:13, edges:78, delta:12, colors: 13, graph:1, type:1, time:0.052566>
<order:14, edges:91, delta:13, colors: 14, graph:1, type:1, time:0.118679>
<order:15, edges:105, delta:14, colors: 15, graph:1, type:1, time:0.342932>
<order:3, edges:3, delta:2, colors: 3, graph:1, type:1, time:0.007573>
<order:4, edges:6, delta:3, colors: 4, graph:1, type:1, time:0.008592>
<order:5, edges:10, delta:4, colors: 5, graph:1, type:1, time:5.443290>
<order:3, edges:3, delta:2, colors: 3, graph:1, type:1, time:0.000017>
<order:4, edges:6, delta:3, colors: 4, graph:1, type:1, time:0.000264>
<order:5, edges:10, delta:4, colors: 5, graph:1, type:1, time:0.000030>
<order:6, edges:15, delta:5, colors: 6, graph:1, type:1, time:0.000058>
<order:7, edges:21, delta:6, colors: 7, graph:1, type:1, time:0.000067>
<order:8, edges:28, delta:7, colors: 8, graph:1, type:1, time:0.000141>
<order:9, edges:36, delta:8, colors: 9, graph:1, type:1, time:0.001037>
<order:10, edges:45, delta:9, colors: 10, graph:1, type:1, time:0.001198>
<order:11, edges:55, delta:10, colors: 11, graph:1, type:1, time:0.002804>
<order:12, edges:66, delta:11, colors: 12, graph:1, type:1, time:0.009140>
<order:13, edges:78, delta:12, colors: 13, graph:1, type:1, time:0.032158>
<order:14, edges:91, delta:13, colors: 14, graph:1, type:1, time:0.093493>
<order:15, edges:105, delta:14, colors: 15, graph:1, type:1, time:0.315852>
<order:16, edges:120, delta:15, colors: 16, graph:1, type:1, time:1.278874>
<order:17, edges:136, delta:16, colors: 17, graph:1, type:1, time:5.283966>
<order:18, edges:153, delta:17, colors: 18, graph:1, type:1, time:22.271007>
<order:3, edges:3, delta:2, colors: 3, graph:1, type:1, time:0.000012>
<order:4, edges:6, delta:3, colors: 4, graph:1, type:1, time:0.000316>
<order:5, edges:10, delta:4, colors: 5, graph:1, type:1, time:0.000062>
<order:6, edges:15, delta:5, colors: 6, graph:1, type:1, time:0.000047>
<order:7, edges:21, delta:6, colors: 7, graph:1, type:1, time:0.000085>
<order:8, edges:28, delta:7, colors: 8, graph:1, type:1, time:0.000153>
<order:9, edges:36, delta:8, colors: 9, graph:1, type:1, time:0.000712>
<order:10, edges:45, delta:9, colors: 10, graph:1, type:1, time:0.000846>
<order:11, edges:55, delta:10, colors: 11, graph:1, type:1, time:0.002527>
<order:12, edges:66, delta:11, colors: 12, graph:1, type:1, time:0.007926>
<order:13, edges:78, delta:12, colors: 13, graph:1, type:1, time:0.026392>
<order:14, edges:91, delta:13, colors: 14, graph:1, type:1, time:0.088040>
<order:15, edges:105, delta:14, colors: 15, graph:1, type:1, time:0.323619>
<order:16, edges:120, delta:15, colors: 16, graph:1, type:1, time:1.345960>
